AccelerationX,AccelerationY,AccelerationZ
0.12,1.47,-0.84
-0.13,2.24,-0.02
-0.67,2.25,-2.81
-2.04,3.22,-4.79
-1.57,1.09,-0.70
-1.02,2.75,2.96
1.33,-0.29,7.79
2.04,-6.23,6.02
0.39,-3.78,-0.42
-0.60,-1.51,-1.49
-2.56,-0.09,5.65
1.35,-5.95,2.85
-3.12,-4.02,1.77
-3.42,0.61,4.95
-0.40,-1.68,2.51
-1.19,0.51,3.44
2.41,1.98,-1.51
0.57,3.56,-0.64
0.09,4.45,-2.40
-0.86,2.81,-3.40
-2.47,2.23,-3.38
-1.25,-2.01,-2.32
-3.36,-1.88,-1.50
-4.64,-10.25,5.25
-3.83,-7.35,0.63
-2.71,-14.25,-8.28
-4.43,-1.02,-5.63
-5.12,-2.72,-7.02
-2.08,-1.85,-5.50
-1.95,-1.93,-6.51
-0.96,-2.76,-5.75
-0.68,-1.01,-8.33
-2.62,-4.19,-5.71
-2.03,-1.49,-3.54
-2.88,-0.45,-2.36
-2.72,1.23,-2.76
-2.75,-0.42,-0.23
-2.50,1.76,1.18
-2.83,1.95,0.08
-2.45,-0.05,-0.58
-3.48,0.50,-0.45
-5.40,-1.43,0.56
-0.04,0.57,1.54
-0.68,4.60,1.29
-0.79,-2.42,2.52
0.22,0.79,-0.99
1.28,1.25,-0.72
-1.29,-0.43,2.92
1.99,-3.71,1.90
0.46,2.00,0.23
-1.21,-0.07,-0.57
-5.02,1.16,0.48
-0.39,4.15,-1.01
3.36,0.38,-1.48
-0.49,-0.55,-1.72
0.40,1.95,-0.00
1.20,-0.46,-1.17
1.37,-1.09,0.80
1.64,-0.76,1.49
1.65,0.65,3.82
0.66,2.50,2.14
0.28,-0.82,4.87
0.09,-0.10,3.17
0.10,1.74,2.63
-0.87,1.45,-1.00
-2.03,-2.97,-2.80
-0.12,0.07,1.91
-0.93,0.60,2.18
-2.55,0.64,2.40
-3.32,0.80,1.51
3.87,0.65,3.44
2.29,0.29,1.88
1.27,0.35,1.61
0.00,-2.10,1.70
1.46,1.13,2.11
-0.22,-0.32,2.41
1.02,1.18,0.88
0.41,-0.23,0.27
0.44,1.87,1.55
-0.08,0.50,-0.97
0.44,-1.11,-0.08
0.59,-0.02,0.14
0.71,0.20,-0.04
0.42,0.77,0.31
0.35,-0.33,-0.09
0.46,0.04,-0.12
0.24,0.05,0.10
0.20,-0.10,-0.04
0.30,-0.01,-0.16
0.17,0.21,-0.06
0.16,0.00,-0.14
0.24,-0.00,-0.03
0.07,0.16,-0.14
0.05,0.16,-0.10
0.04,-0.03,0.24
0.07,0.16,-0.37
0.18,0.12,-0.06
0.12,0.07,-0.10
0.07,0.09,0.01
0.28,-1.49,1.30
0.60,-4.72,3.16
3.06,-5.83,-0.76
3.16,-6.42,-2.97
0.81,7.28,-7.44
0.36,8.28,-3.32
3.62,5.39,-0.48
5.94,4.08,-0.88
5.76,3.74,-2.06
4.61,3.43,-1.98
2.48,3.91,-3.78
-0.65,16.79,-7.69
0.85,11.07,-5.72
0.68,-2.23,-2.14
0.43,-2.60,-0.74
-0.89,0.82,1.14
0.16,1.14,-0.94
1.22,0.25,-2.26
1.89,2.50,-1.05
-1.10,-0.01,4.48
-0.09,2.22,2.49
-0.63,2.08,0.59
-0.27,2.74,0.39
-0.05,2.49,-0.89
-1.06,1.64,-1.57
-1.82,2.48,-4.72
