Image Name,Generated Text
Subject15/Activity1/Trial1/Camera1,falling backwards
Subject15/Activity1/Trial2/Camera1,flying forward
Subject15/Activity1/Trial3/Camera1,walking
Subject15/Activity2/Trial1/Camera1,falling sideways
Subject15/Activity2/Trial2/Camera1,flying
Subject15/Activity2/Trial3/Camera1,falling backwards
Subject15/Activity3/Trial1/Camera1,falling backwards
Subject15/Activity3/Trial2/Camera1,falling sideways
Subject15/Activity3/Trial3/Camera1,The images depict a person who began standing and then transitions to lying on their back on the floor. This corresponds to the activity of falling backwards.
Subject15/Activity4/Trial1/Camera1,falling sideways
Subject15/Activity4/Trial2/Camera1,falling forward
Subject15/Activity4/Trial3/Camera1,Falling backwards
Subject15/Activity5/Trial1/Camera1,falling sideways
Subject15/Activity5/Trial2/Camera1,falling backwards
Subject15/Activity5/Trial3/Camera1,falling backwards
Subject15/Activity6/Trial1/Camera1,falling sideways
Subject15/Activity6/Trial2/Camera1,walking
Subject15/Activity6/Trial3/Camera1,The activity that best describes the images is: **walking**.
Subject15/Activity7/Trial1/Camera1,standing
Subject15/Activity7/Trial2/Camera1,standing
Subject15/Activity7/Trial3/Camera1,standing
Subject15/Activity8/Trial1/Camera1,sitting
Subject15/Activity8/Trial2/Camera1,sitting
Subject15/Activity8/Trial3/Camera1,sitting
Subject15/Activity9/Trial1/Camera1,falling sideways
Subject15/Activity9/Trial2/Camera1,standing
Subject15/Activity9/Trial3/Camera1,falling on knees
Subject15/Activity10/Trial1/Camera1,falling sideways
Subject15/Activity10/Trial2/Camera1,standing
Subject15/Activity10/Trial3/Camera1,jumping
Subject15/Activity11/Trial1/Camera1,falling sideways
Subject15/Activity11/Trial2/Camera1,Falling sideways
Subject15/Activity11/Trial3/Camera1,Falling sideways
Subject16/Activity1/Trial1/Camera1,falling sideways
Subject16/Activity1/Trial2/Camera1,lying
Subject16/Activity1/Trial3/Camera1,Falling forwards
Subject16/Activity2/Trial1/Camera1,falling backwards
Subject16/Activity2/Trial2/Camera1,Falling backwards
Subject16/Activity2/Trial3/Camera1,falling forwards
Subject16/Activity3/Trial1/Camera1,falling backwards
Subject16/Activity3/Trial2/Camera1,falling forwards
Subject16/Activity3/Trial3/Camera1,falling backwards
Subject16/Activity4/Trial1/Camera1,falling forward
Subject16/Activity4/Trial2/Camera1,falling backwards
Subject16/Activity4/Trial3/Camera1,falling backwards
Subject16/Activity5/Trial1/Camera1,falling backward
Subject16/Activity5/Trial2/Camera1,falling sideways
Subject16/Activity5/Trial3/Camera1,lying
Subject16/Activity6/Trial1/Camera1,falling sideways
Subject16/Activity6/Trial2/Camera1,standing
Subject16/Activity6/Trial3/Camera1,falling forward
Subject16/Activity7/Trial1/Camera1,standing
Subject16/Activity7/Trial2/Camera1,standing
Subject16/Activity7/Trial3/Camera1,standing
Subject16/Activity8/Trial1/Camera1,sitting
Subject16/Activity8/Trial2/Camera1,falling sideways
Subject16/Activity8/Trial3/Camera1,sitting
Subject16/Activity9/Trial1/Camera1,falling on knees
Subject16/Activity9/Trial2/Camera1,falling on knees
Subject16/Activity9/Trial3/Camera1,falling backwards
Subject16/Activity10/Trial1/Camera1,standing
Subject16/Activity10/Trial2/Camera1,standing
Subject16/Activity10/Trial3/Camera1,standing
Subject16/Activity11/Trial1/Camera1,lying
Subject16/Activity11/Trial2/Camera1,lying
Subject16/Activity11/Trial3/Camera1,falling backwards
Subject17/Activity1/Trial1/Camera1,falling sideways
Subject17/Activity1/Trial2/Camera1,falling forwards
Subject17/Activity1/Trial3/Camera1,flying forward
Subject17/Activity2/Trial1/Camera1,falling sideways
Subject17/Activity2/Trial2/Camera1,falling forward
Subject17/Activity2/Trial3/Camera1,falling forward
Subject17/Activity3/Trial1/Camera1,falling sideways
Subject17/Activity3/Trial2/Camera1,falling from knees
Subject17/Activity3/Trial3/Camera1,falling sideways
Subject17/Activity4/Trial1/Camera1,flying
Subject17/Activity4/Trial2/Camera1,falling backwards
Subject17/Activity4/Trial3/Camera1,falling forward
Subject17/Activity5/Trial1/Camera1,falling sideways
Subject17/Activity5/Trial2/Camera1,falling sideways
Subject17/Activity5/Trial3/Camera1,"The best option that describes the images is ""falling on knees."""
Subject17/Activity6/Trial1/Camera1,jumping
Subject17/Activity6/Trial2/Camera1,falling side
Subject17/Activity6/Trial3/Camera1,walking
Subject17/Activity7/Trial1/Camera1,standing
Subject17/Activity7/Trial2/Camera1,standing
Subject17/Activity7/Trial3/Camera1,standing
Subject17/Activity8/Trial1/Camera1,sitting
Subject17/Activity8/Trial2/Camera1,sitting
Subject17/Activity8/Trial3/Camera1,sitting
Subject17/Activity9/Trial1/Camera1,falling forward
Subject17/Activity9/Trial2/Camera1,falling sideways
Subject17/Activity9/Trial3/Camera1,falling forward
Subject17/Activity10/Trial1/Camera1,standing
Subject17/Activity10/Trial2/Camera1,falling sideways
Subject17/Activity10/Trial3/Camera1,falling sideways
Subject17/Activity11/Trial1/Camera1,lying
Subject17/Activity11/Trial2/Camera1,lying
Subject17/Activity11/Trial3/Camera1,lying
